name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Tres Tinkle,23,0.111,0.11199999999999999,0.65,0.038,0.036000000000000004,0.33299999999999996,2017-18
Drew Eubanks,21,0.11699999999999999,0.12,0.75,0.011000000000000001,0.026000000000000002,1,2017-18
Alfred Hollins,14,0.222,0.222,0.667,0.067,0.1,0.5,2017-18
Gligorije Rakocevic,13,0.33299999999999996,0.294,0.41700000000000004,0.05,0.083,1,2017-18
Ethan Thompson,12,0.14800000000000002,0.19,0.667,0,0,NA,2017-18
Seth Berger,11,0.196,0.152,0.5,0.071,0,0,2017-18
Thompson Stephen,7,0.043,0.067,1,0,0,NA,2017-18
Ronnie Stacy,4,0.16,0,0,0,0,NA,2017-18
Ben Kone,3,0.6,1,0.33299999999999996,0,NA,NA,2017-18
Zach Reichle,2,0.1,0,0,0.14300000000000002,NA,0,2017-18
Total,110,0.129,0.126,0.61,0.021,0.026000000000000002,0.444,2017-18
