shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.326,0.56,0.06,0.596,2017-18
2pt Jumpers,0.295,0.34700000000000003,0.034,0.36,2017-18
3pt Shots,0.379,0.32899999999999996,0.009000000000000001,0.332,2017-18
