name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Paul White,16,0.195,0.17600000000000002,0.562,0,0,NA,2018-19
Louis King,16,0.16699999999999998,0.212,0.733,0.01,0,0,2018-19
Kenny Wooten,11,0.1,0.111,0.8,0.022000000000000002,0,0,2018-19
Francis Okoro,11,0.16399999999999998,0.207,0.6,0.028999999999999998,0.062,1,2018-19
Will Richardson,9,0.094,0.098,0.625,0.031,0.071,1,2018-19
Bol Bol,9,0.13699999999999998,0.16699999999999998,0.857,0.036000000000000004,0.08,1,2018-19
Ehab Amin,6,0.07,0.098,0.667,0,0,NA,2018-19
Miles Norris,5,0.185,0.22699999999999998,1,0,0,NA,2018-19
Payton Pritchard,4,0.015,0.013999999999999999,0.5,0.013999999999999999,0.032,1,2018-19
Abu Kigab,2,0.182,0.222,1,0,0,NA,2018-19
Bailey Victor,1,0.022000000000000002,0,0,0,0,NA,2018-19
Total,90,0.106,0.124,0.695,0.013999999999999999,0.025,0.7140000000000001,2018-19
