shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.35700000000000004,0.5820000000000001,0.115,0.6579999999999999,2017-18
2pt Jumpers,0.276,0.4,0.06,0.425,2017-18
3pt Shots,0.36700000000000005,0.373,0.009000000000000001,0.377,2017-18
