name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Mo Alie-Cox,32,0.233,0.244,0.733,0.049,0.091,0.5,2014-15
Treveon Graham,20,0.17,0.226,0.667,0.016,0,0,2014-15
Justin Tillman,19,0.21600000000000003,0.11599999999999999,0.312,0.10300000000000001,0.154,0.667,2014-15
Jordan Burgess,12,0.18,0.161,0.556,0.095,0,0,2014-15
Jarred Guest,11,0.47600000000000003,0.364,0.4,0.038,0,0,2014-15
Terry Larrier,8,0.163,0.13,0.375,0,0,NA,2014-15
Melvin Johnson,6,0.094,0.138,0.8,0,0,NA,2014-15
Michael Gilmore,5,0.278,0.231,0.6,0,0,NA,2014-15
Briante Weber,3,0.057,0,0,0,0,NA,2014-15
Total,116,0.149,0.151,0.5579999999999999,0.017,0.013999999999999999,0.3,2014-15
