shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.379,0.539,0.155,0.638,2012-13
2pt Jumpers,0.316,0.33,0.083,0.36,2012-13
3pt Shots,0.305,0.348,0.022000000000000002,0.35600000000000004,2012-13
