shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.419,0.597,0.125,0.682,2015-16,NorthFlorida
2pt Jumpers,0.318,0.405,0.064,0.433,2015-16,NorthFlorida
3pt Shots,0.264,0.34,0.013999999999999999,0.345,2015-16,NorthFlorida
