start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.13699999999999998,0.617,0.42100000000000004,0.61,0.19699999999999998,0.5,0.38299999999999995,0.457,2013-14,NorthernKy.
"Rebound, 11-30 s",0.218,0.503,0.315,0.511,0.281,0.415,0.40399999999999997,0.373,2013-14,NorthernKy.
"Score, 0-10 s",0.055,0.541,0.324,0.583,0.257,0.42100000000000004,0.419,0.387,2013-14,NorthernKy.
"Score, 11-30 s",0.376,0.498,0.32899999999999996,0.5479999999999999,0.319,0.45299999999999996,0.35100000000000003,0.32799999999999996,2013-14,NorthernKy.
"Steal, 0-10 s",0.076,0.525,0.696,0.563,0.078,0.375,0.225,0.304,2013-14,NorthernKy.
"Steal, 11-30 s",0.019,0.46,0.28,0.429,0.32,0.5,0.4,0.3,2013-14,NorthernKy.
Transition,0.268,0.575,0.479,0.5870000000000001,0.175,0.46,0.345,0.41100000000000003,2013-14,NorthernKy.
