shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.276,0.659,0.078,0.7140000000000001,2015-16
2pt Jumpers,0.39899999999999997,0.364,0.075,0.39399999999999996,2015-16
3pt Shots,0.325,0.345,0.004,0.34600000000000003,2015-16
