shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.36700000000000005,0.662,0.046,0.6940000000000001,2013-14,CentralMich.
2pt Jumpers,0.265,0.44,0.016,0.44799999999999995,2013-14,CentralMich.
3pt Shots,0.368,0.355,0.002,0.35600000000000004,2013-14,CentralMich.
