name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Adjehi Baru,35,0.203,0.188,0.5710000000000001,0.075,0.062,0.28600000000000003,2012-13
Anthony Thomas,25,0.214,0.259,0.7140000000000001,0.038,0.068,0.75,2012-13
Willis Hall,24,0.244,0.29600000000000004,0.727,0.035,0.08,1,2012-13
Trent Wiedeman,20,0.16699999999999998,0.11800000000000001,0.47100000000000003,0.042,0.04,0.33299999999999996,2012-13
Theo Johnson,11,0.308,0.28600000000000003,0.5,0.15,0.111,0.33299999999999996,2012-13
Matt Sundberg,3,0.222,0.25,0.5,0.067,0,0,2012-13
Nori Johnson,3,0.05,0.125,1,0.069,0.182,1,2012-13
Anthony Stitt,3,0.015,0.026000000000000002,1,0.02,0.03,0.5,2012-13
Andrew Lawrence,2,0.013999999999999999,0.027000000000000003,1,0.012,0,0,2012-13
Trevonte Dixon,1,0,0,NA,0.5,1,1,2012-13
Judson Hall,1,1,1,1,NA,NA,NA,2012-13
Total,128,0.161,0.172,0.627,0.045,0.059000000000000004,0.5,2012-13
