shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.235,0.7070000000000001,0.048,0.743,2011-12,BoiseSt.
2pt Jumpers,0.38799999999999996,0.376,0.061,0.401,2011-12,BoiseSt.
3pt Shots,0.377,0.37799999999999995,0.005,0.38,2011-12,BoiseSt.
