name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Erik Thomas,36,0.10300000000000001,0.08800000000000001,0.6,0.083,0.061,0.3,2016-17
Makur Puou,19,0.20800000000000002,0.2,0.733,0.054000000000000006,0.07400000000000001,0.5,2016-17
Travin Thibodeaux,18,0.12300000000000001,0.17300000000000001,0.867,0.039,0.067,0.667,2016-17
Michael Zeno,16,0.171,0.163,0.5,0.033,0,0,2016-17
Nate Frye,14,0.122,0.13,0.6,0.105,0.071,0.25,2016-17
Tevin Broyles,6,0.02,0.018000000000000002,0.5,0.098,0.154,0.5,2016-17
Jorge Rosa,5,0.154,0.222,1,0.055999999999999994,0.33299999999999996,1,2016-17
Christavious Gill,3,0.025,0.045,1,0.021,0,0,2016-17
A.J. Cheeseman,1,0.091,0.16699999999999998,1,0,0,NA,2016-17
Total,118,0.106,0.11599999999999999,0.682,0.059000000000000004,0.064,0.379,2016-17
