shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.327,0.662,0.062,0.706,2015-16
2pt Jumpers,0.28,0.359,0.037000000000000005,0.373,2015-16
3pt Shots,0.39399999999999996,0.331,0.006999999999999999,0.33299999999999996,2015-16
