shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.308,0.526,0.183,0.643,2016-17,EastCarolina
2pt Jumpers,0.35100000000000003,0.33899999999999997,0.081,0.369,2016-17,EastCarolina
3pt Shots,0.34,0.325,0.006,0.327,2016-17,EastCarolina
