start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.171,0.455,0.49700000000000005,0.5770000000000001,0.217,0.242,0.287,0.268,2019-20
"Rebound, 11-30 s",0.16399999999999998,0.485,0.42,0.617,0.263,0.361,0.318,0.276,2019-20
"Score, 0-10 s",0.052000000000000005,0.603,0.598,0.6920000000000001,0.138,0.25,0.264,0.391,2019-20
"Score, 11-30 s",0.38799999999999996,0.499,0.337,0.557,0.337,0.425,0.326,0.344,2019-20
"Steal, 0-10 s",0.059000000000000004,0.6940000000000001,0.6729999999999999,0.7120000000000001,0.061,0.5,0.265,0.462,2019-20
"Steal, 11-30 s",0.027000000000000003,0.433,0.222,0.5,0.35600000000000004,0.25,0.42200000000000004,0.368,2019-20
Transition,0.281,0.532,0.552,0.635,0.17,0.262,0.278,0.32799999999999996,2019-20
