name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Javon Freeman-Liberty,21,0.09,0.092,0.647,0.02,0.019,0.33299999999999996,2019-20,Valparaiso
Mileek McMillan,14,0.157,0.18899999999999997,0.769,0.02,0,0,2019-20,Valparaiso
Donovan Clay,12,0.07200000000000001,0.092,0.8,0.049,0.077,0.5,2019-20,Valparaiso
Ben Krikke,11,0.10800000000000001,0.105,0.667,0.08,0,0,2019-20,Valparaiso
Eron Gordon,8,0.18600000000000003,0.192,0.625,0,0,NA,2019-20,Valparaiso
Nick Robinson,4,0.094,0.158,1,0.021,0,0,2019-20,Valparaiso
Daniel Sackey,2,0.015,0.028999999999999998,1,0.02,0.071,1,2019-20,Valparaiso
John Kiser,2,0.04,0.027999999999999997,0.5,0,0,NA,2019-20,Valparaiso
Zion Morgan,2,0.091,0,0,0,0,NA,2019-20,Valparaiso
Ryan Fazekas,1,0,0,NA,0.031,0,0,2019-20,Valparaiso
Total,77,0.08900000000000001,0.098,0.6920000000000001,0.022000000000000002,0.017,0.273,2019-20,Valparaiso
