name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Wassef Methnani,17,0.168,0.184,0.562,0.062,0,0,2017-18,Fairfield
Matija Milan,12,0.179,0.25,0.9,0.069,0.077,0.5,2017-18,Fairfield
Jonathan Kasibabu,11,0.091,0.1,0.818,0,0,NA,2017-18,Fairfield
Jesus Cruz,9,0.075,0.048,0.375,0.013999999999999999,0.033,1,2017-18,Fairfield
Omar El-Sheikh,4,0.071,0.08,0.667,0.091,0,0,2017-18,Fairfield
Tyler Nelson,4,0.026000000000000002,0.027999999999999997,0.667,0.006999999999999999,0,0,2017-18,Fairfield
Kevin Peterson,3,0.079,0.05,0.33299999999999996,0,NA,NA,2017-18,Fairfield
Flavors Ferron,1,0.024,0.059000000000000004,1,0,0,NA,2017-18,Fairfield
Taj Benning,1,0.091,0.33299999999999996,1,0,0,NA,2017-18,Fairfield
Total,62,0.078,0.08900000000000001,0.6609999999999999,0.015,0.012,0.33299999999999996,2017-18,Fairfield
