shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.332,0.455,0.159,0.541,2017-18
2pt Jumpers,0.32,0.38799999999999996,0.051,0.41,2017-18
3pt Shots,0.348,0.32799999999999996,0.001,0.32799999999999996,2017-18
