shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.36,0.593,0.08900000000000001,0.6509999999999999,2014-15
2pt Jumpers,0.272,0.325,0.109,0.365,2014-15
3pt Shots,0.368,0.332,0.01,0.335,2014-15
