name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Tremell Murphy,25,0.135,0.146,0.684,0.075,0.154,0.667,2018-19,Drake
Liam Robbins,22,0.29600000000000004,0.21899999999999997,0.43799999999999994,0.13,0.133,0.33299999999999996,2018-19,Drake
Nick McGlynn,17,0.08900000000000001,0.092,0.733,0.019,0.021,0.5,2018-19,Drake
Anthony Murphy,9,0.12,0.11800000000000001,0.667,0,0,NA,2018-19,Drake
Garrett Sturtz,4,0.032,0.026000000000000002,0.5,0.095,0.091,0.5,2018-19,Drake
Brady Ellingson,3,0.032,0,0,0,0,NA,2018-19,Drake
D.J. Wilkins,2,0.03,0.069,1,0,0,NA,2018-19,Drake
Noah Thomas,2,0.032,0.028999999999999998,0.5,0,0,NA,2018-19,Drake
Antonio Pilipovic,1,0.33299999999999996,0.5,1,0,0,NA,2018-19,Drake
Nick Norton,1,0.027999999999999997,0.038,1,0,0,NA,2018-19,Drake
Total,86,0.09699999999999999,0.096,0.632,0.034,0.044000000000000004,0.5,2018-19,Drake
