name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Tre'Darius McCallum,27,0.188,0.18899999999999997,0.667,0.067,0.107,0.5,2016-17
Joe Hanel,18,0.231,0.18899999999999997,0.556,0,0,NA,2016-17
Levi Cook,17,0.47200000000000003,0.435,0.588,0,0,NA,2016-17
Eli Cain,13,0.087,0.095,0.545,0.006999999999999999,0,0,2016-17
Brandon Cyrus,11,0.11900000000000001,0.188,0.75,0.036000000000000004,0,0,2016-17
R.J. Curington,7,0.259,0.3,0.857,0,0,NA,2016-17
Garrett Billy,5,0.046,0.05,0.6,0,0,NA,2016-17
Al Eichelberger,5,0.2,0.2,0.75,1,1,1,2016-17
Devin Gage,2,0.039,0.062,1,0,0,NA,2016-17
Darrick Wood,2,0.053,0.091,1,0.031,0.077,1,2016-17
Chris Harrison-Docks,1,0,0,NA,0,0,NA,2016-17
Total,108,0.14300000000000002,0.158,0.649,0.021,0.025,0.41700000000000004,2016-17
