name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Charles Wilson-Fisher,37,0.302,0.26899999999999996,0.621,0.125,0.077,0.25,2017-18
Akim Mitchell,20,0.151,0.138,0.5710000000000001,0.079,0.045,0.2,2017-18
Trevond Barnes,18,0.147,0.15,0.818,0.125,0.095,0.28600000000000003,2017-18
Jermaine Marrow,13,0.023,0.035,0.8,0.033,0.027999999999999997,0.28600000000000003,2017-18
Trey Carver,12,0.33299999999999996,0.278,0.455,0.055999999999999994,0,0,2017-18
Kalin Fisher,9,0.062,0.081,0.833,0.02,0,0,2017-18
Austin Colbert,8,0.182,0.087,0.33299999999999996,0.095,0,0,2017-18
Greg Heckstall,7,0.14300000000000002,0.16699999999999998,0.8,0.027999999999999997,0.087,1,2017-18
Malique Trent,6,0.051,0.045,0.6,0.024,0.067,1,2017-18
AJ Astroth,2,0.222,0.28600000000000003,1,0,NA,NA,2017-18
Jaekwon Carliyle,1,0.1,0,0,0,NA,NA,2017-18
Total,133,0.114,0.115,0.632,0.05,0.04,0.278,2017-18
