shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.298,0.547,0.188,0.674,2018-19
2pt Jumpers,0.299,0.292,0.10400000000000001,0.326,2018-19
3pt Shots,0.40299999999999997,0.298,0.01,0.301,2018-19
