name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Cletrell Pope,61,0.23600000000000002,0.22899999999999998,0.7140000000000001,0.20199999999999999,0.237,0.474,2018-19
Shawntrez Davis,21,0.184,0.2,0.625,0.071,0.042,0.2,2018-19
Houston Smith,13,0.182,0.128,0.41700000000000004,0,0,NA,2018-19
Wali Parks,13,0.183,0.179,0.636,0.083,0.2,0.5,2018-19
Soufiyane Diakite,12,0.135,0.152,0.7,0.065,0,0,2018-19
David Francis,5,0.33299999999999996,0.25,0.25,0.067,0,0,2018-19
Malik Maitland,5,0.021,0.02,0.5,0.008,0,0,2018-19
Danny Harris,2,0.5,0.667,1,NA,NA,NA,2018-19
Armani Collins,1,0.111,0.16699999999999998,1,0,0,NA,2018-19
Dondre Duffus,1,0,0,NA,0.053,0,0,2018-19
Mark Gordon,1,0,0,NA,0,0,NA,2018-19
Total,135,0.131,0.138,0.64,0.062,0.067,0.355,2018-19
