start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.16399999999999998,0.493,0.42700000000000005,0.542,0.16,0.389,0.413,0.32299999999999995,2019-20
"Rebound, 11-30 s",0.19899999999999998,0.527,0.337,0.609,0.337,0.37,0.326,0.40399999999999997,2019-20
"Score, 0-10 s",0.052000000000000005,0.715,0.47200000000000003,0.853,0.153,0.545,0.375,0.40700000000000003,2019-20
"Score, 11-30 s",0.386,0.504,0.311,0.588,0.309,0.37799999999999995,0.379,0.358,2019-20
"Steal, 0-10 s",0.036000000000000004,0.5920000000000001,0.6729999999999999,0.727,0.14300000000000002,0.28600000000000003,0.184,0.222,2019-20
"Steal, 11-30 s",0.023,0.46799999999999997,0.29,0.444,0.226,0.429,0.484,0.33299999999999996,2019-20
Transition,0.252,0.5529999999999999,0.47100000000000003,0.644,0.156,0.40700000000000003,0.373,0.33299999999999996,2019-20
