start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.11900000000000001,0.528,0.415,0.58,0.179,0.42100000000000004,0.406,0.349,2015-16
"Rebound, 11-30 s",0.23,0.426,0.243,0.49,0.326,0.336,0.431,0.305,2015-16
"Score, 0-10 s",0.042,0.6,0.28,0.762,0.133,0.2,0.5870000000000001,0.409,2015-16
"Score, 11-30 s",0.395,0.40700000000000003,0.26,0.484,0.371,0.29,0.369,0.314,2015-16
"Steal, 0-10 s",0.061,0.628,0.743,0.642,0.018000000000000002,0,0.239,0.423,2015-16
"Steal, 11-30 s",0.015,0.25,0.192,0.4,0.231,0,0.5770000000000001,0.2,2015-16
Transition,0.221,0.569,0.48,0.626,0.126,0.36,0.39399999999999996,0.37799999999999995,2015-16
