name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Chris Silva,28,0.17300000000000001,0.20800000000000002,0.833,0.069,0.055,0.3,2018-19,SouthCarolina
Keyshawn Bryant,25,0.128,0.135,0.667,0.086,0.128,0.5,2018-19,SouthCarolina
Maik Kotsar,16,0.217,0.161,0.5,0.043,0.06,0.5,2018-19,SouthCarolina
Felipe Haase,14,0.353,0.33299999999999996,0.5,0.125,0.15,0.429,2018-19,SouthCarolina
Alanzo Frink,14,0.292,0.35700000000000004,0.7140000000000001,0.26899999999999996,0.4,0.5710000000000001,2018-19,SouthCarolina
A.J. Lawson,13,0.106,0.098,0.545,0.026000000000000002,0.048,0.5,2018-19,SouthCarolina
Hassani Gravett,7,0.07,0.077,0.6,0.034,0.111,1,2018-19,SouthCarolina
Tre Campbell,3,0.048,0.14300000000000002,1,0.02,0,0,2018-19,SouthCarolina
Justin Minaya,3,0.214,0.091,0.33299999999999996,0,0,NA,2018-19,SouthCarolina
Evan Hinson,2,0.2,0.25,1,0.125,0,0,2018-19,SouthCarolina
Total,125,0.142,0.153,0.654,0.066,0.091,0.457,2018-19,SouthCarolina
