shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.36700000000000005,0.561,0.146,0.657,2017-18
2pt Jumpers,0.271,0.35200000000000004,0.09699999999999999,0.39,2017-18
3pt Shots,0.36200000000000004,0.35,0.009000000000000001,0.354,2017-18
