shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.43799999999999994,0.557,0.127,0.638,2013-14,Providence
2pt Jumpers,0.27699999999999997,0.379,0.10400000000000001,0.423,2013-14,Providence
3pt Shots,0.285,0.327,0.005,0.32899999999999996,2013-14,Providence
