name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Michael Murray,44,0.26,0.255,0.6409999999999999,0.045,0.062,0.4,2012-13
Zachary Burnham,12,0.16399999999999998,0.185,0.5,0.038,0.077,0.5,2012-13
ST.,9,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.375,NA,0,2012-13
Sterling Smith,8,0.163,0.182,0.75,0,0,NA,2012-13
Andre Armstrong,6,0.087,0.16699999999999998,0.75,0.036000000000000004,0,0,2012-13
Collin Johnson,5,0.10800000000000001,0.083,0.5,0.048,0,0,2012-13
Patrick Cole,3,0.011000000000000001,0.034,1,0.01,0,0,2012-13
Taariq Cephas,3,0,0,NA,0.018000000000000002,0.045,1,2012-13
Darryln Johnson,3,0.429,0.5,0.667,0,0,NA,2012-13
Charles Ieans,3,0.04,0.05,0.5,0.026000000000000002,0.1,1,2012-13
Troy Franklin,1,0,0,NA,0,0,NA,2012-13
Total,97,0.125,0.153,0.61,0.03,0.037000000000000005,0.33299999999999996,2012-13
