name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Ta'Jay Henry,20,0.19699999999999998,0.19399999999999998,0.467,0.078,0.14300000000000002,0.8,2015-16
Jabari Alex,15,0.262,0.273,0.818,0.222,0.222,0.5,2015-16
Michael Matlock,11,0.37,0.33299999999999996,0.4,0.077,0.25,1,2015-16
Isaac Williams,10,0.061,0.062,0.5,0.051,0.08800000000000001,0.7140000000000001,2015-16
Vacha Vaughn,9,0.14,0.138,0.5,0.016,0,0,2015-16
Damian Young,7,0.099,0.132,0.7140000000000001,0,0,NA,2015-16
Latrell Love,7,0.07,0.091,0.6,0.019,0.031,0.5,2015-16
Marcus Romain,7,0.032,0.027999999999999997,0.5,0.006999999999999999,0,0,2015-16
RONALD,5,0.2,0.2,0.33299999999999996,0.125,0.125,0.5,2015-16
Dwain Whitfield,4,0.375,0,0,0.048,0,0,2015-16
Bennett Davis,2,0.33299999999999996,0.33299999999999996,1,0.25,0,0,2015-16
Kylan Phillips,2,0.04,0,0,0.01,0,0,2015-16
Rashaan Surles,2,0.026000000000000002,0.055999999999999994,1,0.015,0,0,2015-16
Dusan Langura,1,0,NA,NA,0,0,NA,2015-16
Total,102,0.11,0.114,0.534,0.032,0.049,0.519,2015-16
