start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.133,0.523,0.419,0.659,0.207,0.289,0.373,0.33299999999999996,2018-19
"Rebound, 11-30 s",0.19899999999999998,0.48,0.353,0.5,0.313,0.34700000000000003,0.33399999999999996,0.389,2018-19
"Score, 0-10 s",0.06,0.444,0.439,0.6509999999999999,0.19399999999999998,0.42100000000000004,0.36700000000000005,0.139,2018-19
"Score, 11-30 s",0.42700000000000005,0.489,0.355,0.575,0.331,0.40399999999999997,0.314,0.321,2018-19
"Steal, 0-10 s",0.05,0.573,0.6829999999999999,0.607,0.085,0.14300000000000002,0.23199999999999998,0.42100000000000004,2018-19
"Steal, 11-30 s",0.022000000000000002,0.514,0.34299999999999997,0.667,0.28600000000000003,0.4,0.371,0.308,2018-19
Transition,0.244,0.514,0.479,0.642,0.179,0.31,0.34299999999999997,0.294,2018-19
