shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.298,0.5660000000000001,0.162,0.6759999999999999,2015-16,Alabama
2pt Jumpers,0.36,0.35700000000000004,0.11699999999999999,0.40399999999999997,2015-16,Alabama
3pt Shots,0.342,0.32899999999999996,0.009000000000000001,0.332,2015-16,Alabama
