shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.408,0.605,0.077,0.6559999999999999,2013-14,AppalachianSt.
2pt Jumpers,0.297,0.36700000000000005,0.055,0.38799999999999996,2013-14,AppalachianSt.
3pt Shots,0.295,0.368,0.006,0.371,2013-14,AppalachianSt.
