name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Sam Dower,33,0.182,0.17800000000000002,0.679,0.033,0.055999999999999994,0.8,2013-14
Przemek Karnowski,28,0.184,0.23600000000000002,0.9129999999999999,0.043,0.019,0.2,2013-14
Gerard Coleman,10,0.071,0.07200000000000001,0.556,0.03,0.077,1,2013-14
Kyle Dranginis,6,0.092,0.077,0.5,0,0,NA,2013-14
Drew Barham,5,0.13,0.071,0.33299999999999996,0.28600000000000003,0,0,2013-14
Gary Bell,5,0.063,0.095,1,0.027000000000000003,0,0,2013-14
Ryan Edwards,4,0.429,0.33299999999999996,0.33299999999999996,0.2,0.5,1,2013-14
Kevin Pangos,3,0.021,0.040999999999999995,1,0.013999999999999999,0,0,2013-14
Angel Nunez,3,0.073,0.125,1,0,0,NA,2013-14
"LUKE,MEIKLE",1,0,0,NA,0.5,NA,0,2013-14
David Stockton,1,0.01,0.016,1,0,0,NA,2013-14
Total,99,0.10099999999999999,0.11900000000000001,0.732,0.034,0.033,0.41200000000000003,2013-14
