start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.09699999999999999,0.503,0.401,0.49200000000000005,0.237,0.41700000000000004,0.36200000000000004,0.382,2012-13
"Rebound, 11-30 s",0.223,0.433,0.33,0.44799999999999995,0.35600000000000004,0.344,0.313,0.345,2012-13
"Score, 0-10 s",0.04,0.389,0.222,0.5710000000000001,0.23800000000000002,0.2,0.54,0.265,2012-13
"Score, 11-30 s",0.41200000000000003,0.455,0.294,0.479,0.297,0.318,0.41,0.358,2012-13
"Steal, 0-10 s",0.08,0.612,0.64,0.7,0.168,0.47600000000000003,0.192,0.292,2012-13
"Steal, 11-30 s",0.036000000000000004,0.446,0.196,0.545,0.429,0.41700000000000004,0.375,0.28600000000000003,2012-13
Transition,0.21600000000000003,0.522,0.456,0.606,0.212,0.389,0.332,0.327,2012-13
