start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.111,0.514,0.40299999999999997,0.603,0.177,0.406,0.42,0.316,2016-17,KansasSt.
"Rebound, 11-30 s",0.217,0.45799999999999996,0.297,0.43799999999999994,0.34,0.325,0.363,0.39799999999999996,2016-17,KansasSt.
"Score, 0-10 s",0.053,0.615,0.379,0.545,0.207,0.556,0.414,0.47200000000000003,2016-17,KansasSt.
"Score, 11-30 s",0.40700000000000003,0.5,0.267,0.5589999999999999,0.341,0.345,0.392,0.396,2016-17,KansasSt.
"Steal, 0-10 s",0.069,0.535,0.637,0.6809999999999999,0.159,0.222,0.204,0.217,2016-17,KansasSt.
"Steal, 11-30 s",0.025,0.524,0.293,0.41700000000000004,0.439,0.5,0.268,0.455,2016-17,KansasSt.
Transition,0.23399999999999999,0.5429999999999999,0.467,0.624,0.17800000000000002,0.397,0.354,0.341,2016-17,KansasSt.
