name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
D.J. Johnson,30,0.126,0.14300000000000002,0.81,0.13,0.071,0.222,2016-17,KansasSt.
Wesley Iwundu,19,0.10300000000000001,0.11800000000000001,0.7140000000000001,0.054000000000000006,0.059000000000000004,0.4,2016-17,KansasSt.
Dean Wade,15,0.139,0.16399999999999998,0.818,0.067,0,0,2016-17,KansasSt.
Isaiah Maurice,9,0.139,0.115,0.6,0.129,0.067,0.25,2016-17,KansasSt.
Xavier Sneed,8,0.11599999999999999,0.14300000000000002,0.8,0.111,0.16699999999999998,0.667,2016-17,KansasSt.
Carlbe Ervin II,7,0.132,0.125,0.6,0.28600000000000003,NA,0,2016-17,KansasSt.
Kamau Stokes,5,0.040999999999999995,0.032,0.33299999999999996,0.023,0.04,0.5,2016-17,KansasSt.
Brian Patrick,2,0.25,0.16699999999999998,0.5,0,0,NA,2016-17,KansasSt.
Austin Budke,2,0.25,0.5,1,0.33299999999999996,0,0,2016-17,KansasSt.
Dante Williams,1,1,1,1,0,0,NA,2016-17,KansasSt.
Pierson McAtee,1,NA,NA,NA,0.5,NA,0,2016-17,KansasSt.
Total,99,0.098,0.113,0.735,0.062,0.045,0.258,2016-17,KansasSt.
