shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.406,0.536,0.175,0.65,2015-16
2pt Jumpers,0.251,0.326,0.094,0.36,2015-16
3pt Shots,0.34299999999999997,0.361,0.016,0.36700000000000005,2015-16
