shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.373,0.55,0.076,0.595,2019-20,Ohio
2pt Jumpers,0.22399999999999998,0.36,0.03,0.371,2019-20,Ohio
3pt Shots,0.40299999999999997,0.32899999999999996,0.006999999999999999,0.331,2019-20,Ohio
