shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.371,0.574,0.106,0.643,2016-17,FGCU
2pt Jumpers,0.24100000000000002,0.384,0.057,0.408,2016-17,FGCU
3pt Shots,0.38799999999999996,0.306,0.016,0.311,2016-17,FGCU
