shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.20600000000000002,0.634,0.098,0.703,2016-17
2pt Jumpers,0.405,0.395,0.11,0.444,2016-17
3pt Shots,0.389,0.324,0.018000000000000002,0.33,2016-17
