shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.348,0.5429999999999999,0.151,0.64,2015-16
2pt Jumpers,0.38799999999999996,0.287,0.07200000000000001,0.309,2015-16
3pt Shots,0.264,0.35,0.004,0.35100000000000003,2015-16
