name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Phil Fayne,30,0.12300000000000001,0.11599999999999999,0.682,0.044000000000000004,0.045,0.375,2018-19
Milik Yarbrough,14,0.069,0.055999999999999994,0.5,0.022000000000000002,0.021,0.4,2018-19
Rey Idowu,12,0.324,0.308,0.727,0.032,0,0,2018-19
Matt Chastain,5,0.185,0.16,0.8,0,0,NA,2018-19
William Tinsley,3,0.136,0.16699999999999998,1,0,0,NA,2018-19
Josh Jefferson,2,0.04,0.1,1,0.055999999999999994,0.16699999999999998,1,2018-19
Zach Copeland,2,0,0,NA,0.012,0.034,1,2018-19
Keyshawn Evans,1,0,0,NA,0.02,0,0,2018-19
Isaac Gassman,1,0.071,0,0,0,0,NA,2018-19
Total,73,0.106,0.114,0.698,0.027999999999999997,0.028999999999999998,0.389,2018-19
